HBW_Scientific_Name,HWI,Body mass (log),Range Size,Island,Latitude,AnnualTemp,TempRange,AnnualPrecip,PrecipRange,Realm,TrophicLevel,TrophicNiche,ForagingNiche,Habitat,Migration-3,Territoriality
Acanthidops bairdi,17.07139927,1.204119983,4,0,9.5,23.32667143,12.29904286,3182.258571,401.2873571,Neotropic,Omnivore,Invertivore,Invertivore glean arboreal,dense,resident,weak
Acanthis flammea,33.27918853,1.113943352,1975,0.01721519,61.99,-5.337008605,44.12380238,530.7249885,52.13793367,Palearctic,Herbivore,Granivore,Generalist,dense,directional migratory,weak
Agelaius assimilis,22.875064,1.678336247,8,0.5,NA,25.26175,15.06552895,1252.194211,164.2036316,Neotropic,Omnivore,Omnivore,NA,open,resident,weak
Agelaius humeralis,24.80622941,1.559786968,20,0.2,21.23,25.07110968,15.42715806,1278.440968,171.2272677,Neotropic,Omnivore,Omnivore,NA,semi-open,resident,weak
Agelaius phoeniceus,23.98514879,1.705692697,1421,0.013370866,42.27,8.341984686,37.66570363,787.7721385,82.99459675,Nearctic,Herbivore,Granivore,Granivore ground,open,directional migratory,weak
Agelaius tricolor,31.16671448,1.762828553,39,0.025641026,38.01,12.53582412,29.0126098,622.7840196,108.4679316,Nearctic,Omnivore,Invertivore,Invertivore ground,semi-open,directional migratory,weak
Agelaius xanthomus,20.96988969,1.584331224,6,1,18.46,25.150825,12.985425,1556.065,138.200075,Neotropic,Omnivore,Invertivore,Invertivore glean arboreal,semi-open,resident,weak
Aimophila notosticta,8.31266956,1.432969291,8,0,17.17,20.3232375,20.0497,1375.920625,277.4562163,Neotropic,Herbivore,Omnivore,NA,semi-open,resident,strong
Aimophila rufescens,9.123655021,1.53529412,110,0,19.12,21.77550878,20.36445216,1396.715324,257.2009978,Neotropic,Herbivore,Omnivore,NA,semi-open,resident,strong
Aimophila ruficeps,12.79795442,1.271609301,213,0.009389671,30.27,16.36883909,31.73744203,615.0046199,109.5265359,Nearctic,Herbivore,Granivore,Granivore ground,semi-open,resident,strong
